player,rank,points,seed,Key
Sinner J.,1,9360,1,seed1-2
Djokovic N.,2,7460,2,seed1-2
Alcaraz C.,3,7360,3,seed3-4
Zverev A.,4,7035,4,seed3-4
Medvedev D.,5,6275,5,seed5-8
Rublev A.,6,4805,6,seed5-8
Hurkacz H.,7,4055,7,seed5-8
Ruud C.,8,3855,8,seed5-8
Dimitrov G.,9,3655,9,seed9-16
De Minaur A.,10,3435,10,seed9-16
Tsitsipas S.,11,3425,11,seed9-16
Fritz T.,12,3120,12,seed9-16
Shelton B.,13,3110,13,seed9-16
Paul T.,14,2985,14,seed9-16
Rune H.,15,2780,15,seed9-16
Korda S.,16,2545,16,seed9-16
Humbert U.,17,2330,17,seed17-32
Musetti L.,18,2255,18,seed17-32
Auger-Aliassime F.,19,2170,19,seed17-32
Tiafoe F.,20,2120,20,seed17-32
Baez S.,23,1800,21,seed17-32
Tabilo A.,21,1978,22,seed17-32
Khachanov K.,22,1930,23,seed17-32
Fils A.,24,1770,24,seed17-32
Draper J.,25,1695,25,seed17-32
Jarry N.,26,1675,26,seed17-32
Bublik A.,27,1650,27,seed17-32
Popyrin A.,28,1635,28,seed17-32
Cerundolo F.,29,1495,29,seed17-32
Arnaldi M.,30,1470,30,seed17-32
Cobolli F.,31,1418,31,seed17-32
Lehecka J.,38,1255,32,seed17-32
Thompson J.,32,1376,,
Etcheverry T.,33,1335,,
Borges N.,34,1325,,
Struff J.L.,35,1320,,
Navone M.,36,1303,,
Darderi L.,37,1291,,
Machac T.,39,1224,,
Griekspoor T.,40,1210,,
Zhang Zh.,41,1185,,
Mannarino A.,42,1170,,
Martinez P.,43,1168,,
Berrettini M.,44,1160,,
Monfils G.,45,1155,,
Giron M.,46,1150,,
Sonego L.,48,1116,,
Michelsen A.,49,1115,,
Nakashima B.,50,1105,,
Marozsan F.,51,1090,,
Mpetshi G.,52,1062,,
Nishioka Y.,53,974,,
Kecmanovic M.,54,940,,
Carballes Baena R.,55,916,,
Rinderknech A.,56,915,,
Safiullin R.,57,910,,
Ofner S.,58,904,,
Davidovich Fokina A.,59,900,,
Kotov P.,60,864,,
Shevchenko A.,61,855,,
Hijikata R.,62,848,,
Gaston H.,63,830,,
Diaz Acosta F.,64,827,,
Mensik J.,65,812,,
Lajovic D.,66,811,,
Bautista Agut R.,67,791,,
Seyboth Wild T.,68,790,,
Moutet C.,69,780,,
Duckworth J.,70,764,,
Fognini F.,71,759,,
Shang J.,72,754,,
Nagal S.,73,747,,
Van De Zandschulp B.,74,739,,
Monteiro T.,75,739,,
Kovacevic A.,76,738,,
Muller A.,77,732,,Wild card
Goffin D.,78,725,,
Coria F.,79,714,,
Bergs Z.,80,697,,
Fucsovics M.,81,694,,
Koepfer D.,83,686,,
Munar J.,84,682,,
Kokkinakis T.,86,672,,
O Connell C.,87,671,,
Daniel T.,88,639,,
Altmaier D.,89,637,,
Nardi L.,90,612,,
Cazaux A.,91,609,,
Vukic A.,92,609,,
Ugo Carabelli C.,93,608,,
Walton A.,95,601,,
Purcell M.,97,585,,
Coric B.,98,582,,
Marterer M.,100,561,,Lucky loser
Bellucci M.,101,555,,Qualified
Svajda Z.,102,554,,Wild card
Shapovalov D.,105,550,,Protected ranking
Eubanks C.,106,545,,Wild card
Comesana F.,108,532,,
Djere L.,109,531,,
Lestienne C.,111,527,,
Halys Q.,119,498,,Qualified
Ramos-Vinolas A.,122,483,,
Bu Y.,123,483,,Qualified
Virtanen O.,125,476,,Qualified
Medjedovic H.,137,431,,Qualified
Albot R.,138,424,,Qualified
Mcdonald M.,140,422,,
Diallo G.,143,413,,Qualified
Stricker D.,169,345,,Protected ranking
Grenier H.,173,341,,Qualified
Wawrinka S.,176,333,,Wild card
Krueger M.,179,332,,Qualified
Evans D.,184,324,,
Tu L.,186,322,,
Skatov T.,188,315,,Qualified
Tien L.,191,309,,Wild card
Schoolkate T.,193,308,,Wild card
Kasnikowski M.,194,308,,Qualified
Jacquet K.,209,285,,Qualified
Thiem D.,210,283,,Wild card
Carreno Busta P.,213,277,,Protected ranking
Schwartzman D.,244,236,,Qualified
Choinski J.,276,199,,Qualified
Opelka R.,324,157,,Protected ranking
Kwon S.W.,340,145,,Protected ranking
Spizzirri E.,341,145,,Qualified
Forbes M.,1848,1,,Wild card
